,category,subgroup,name,importance,shap_mean_0,shap_mean_1,shap_mean_2
96,ohlcv,history,close_pct_lag6,0.0028580997604876757,-0.026875579729676247,-0.0024178694002330303,0.019557729363441467
97,ohlcv,history,close_pct_lag7,0.0028251565527170897,0.016333233565092087,-0.047506507486104965,0.046851616352796555
98,ohlcv,history,close_pct_lag8,0.0028296122327446938,0.03770147264003754,-0.06646091490983963,0.10697312653064728
99,ohlcv,history,close_pct_lag9,0.0029748748056590557,-0.0008260388276539743,-0.010983726009726524,-0.025286437943577766
100,ohlcv,history,close_pct_lag10,0.0018947626231238246,-0.03407493233680725,-0.010711323469877243,0.0033276674803346395
101,ohlcv,history,volume_pct_lag1,0.0022837365977466106,-0.008480706252157688,0.02445293590426445,-0.09191199392080307
102,ohlcv,history,volume_pct_lag2,0.0021596550941467285,0.0032141951378434896,-9.892004891298711e-05,-0.00020638857677113265
103,ohlcv,history,volume_pct_lag3,0.0023213198874145746,-0.014321708120405674,-0.01271259319037199,-0.005678039975464344
104,ohlcv,history,volume_pct_lag4,0.0019371605012565851,0.05134643241763115,-0.029450343921780586,0.005167641211301088
105,ohlcv,history,volume_pct_lag5,0.0027145142666995525,0.0013871511910110712,-0.015154389664530754,-0.0005457677179947495
106,ohlcv,history,volume_pct_lag6,0.002161934971809387,-0.04139898344874382,0.005612439941614866,0.014518358744680882
107,ohlcv,history,volume_pct_lag7,0.0014896399807184935,-0.008519942872226238,-0.01741836592555046,0.0010782488388940692
108,ohlcv,history,volume_pct_lag8,0.0016698960680514574,-0.009610402397811413,-0.002565149450674653,0.0052051725797355175
109,ohlcv,history,volume_pct_lag9,0.0016178563237190247,-0.03915746137499809,0.021657250821590424,-0.018380817025899887
110,ohlcv,history,volume_pct_lag10,0.002288163872435689,0.0004467722319532186,-0.003005663864314556,-0.008477024734020233
111,ohlcv,candlestick_patterns,talib_patterns_mean,0.0010724806925281882,-0.030026700347661972,0.02088887430727482,0.0252514835447073
112,ohlcv,candlestick_patterns,talib_patterns_sum,0.0010213785571977496,0.0005301614874042571,-0.0044128126464784145,0.022298334166407585
113,ohlcv,candle,close_open_pct,0.0028652274049818516,0.15708912909030914,0.03302425146102905,0.04230551794171333
114,ohlcv,candle,high_close_dist_pct,0.0022570895962417126,0.005603102035820484,-0.06542762368917465,0.027635496109724045
115,ohlcv,candle,low_close_dist_pct,0.0009315717034041882,-0.029366303235292435,-0.0113750034943223,0.010994027368724346
116,ohlcv,candle,high_low_dist_pct,0.002112368354573846,-0.014237564988434315,0.04028204828500748,-0.016770824790000916
117,ohlcv,volatility,close_volatility_3d,0.004398792516440153,-0.048291947692632675,-0.12357781827449799,0.19938896596431732
118,ohlcv,volatility,close_volatility_7d,0.015839478000998497,0.017342623323202133,-0.06631981581449509,0.030681058764457703
119,ohlcv,volatility,close_volatility_30d,0.00494584022089839,0.0658179447054863,-0.19615118205547333,0.10244768112897873
120,technical,volume,pvo_12_26,0.0016605930868536234,0.001132484758272767,-0.05040367692708969,-0.0011353143490850925
121,technical,volume,adi,0.0036099248100072145,-0.00373288057744503,0.057690106332302094,-0.010446932166814804
122,technical,volume,adi_pct,0.0037085157819092274,0.11220747977495193,-0.0152194919064641,-0.018696904182434082
123,technical,volume,adi_close_convergence,0.0009575673029758036,-0.0007829867536202073,0.03298556059598923,0.0
124,technical,volume,obv,0.0017834975151345134,-0.0036354141775518656,0.003711214754730463,0.012622068636119366
125,technical,volume,obv_pct,0.0018538777949288487,-0.0044540963135659695,-0.06901276856660843,0.029908210039138794
126,technical,volume,obv_mean3_pct,0.003695354564115405,-0.003814269322901964,-0.04673667997121811,0.002454302506521344
127,technical,volume,ao_14,0.005255474708974361,0.0025014448910951614,-0.011783318594098091,0.12772898375988007
128,technical,volume,ao_14_div100,0.00012243665696587414,0.0010963763343170285,0.0,-0.013820416294038296
129,technical,volatility,adx_14,0.0026080694515258074,-0.04441868141293526,-0.11642362177371979,0.14956803619861603
130,technical,volatility,wd_14,0.00356046250090003,-0.002155476249754429,-0.03847821429371834,0.053102921694517136
131,technical,volatility,atrp_14,0.008686511777341366,0.03817054629325867,-0.07903502136468887,0.030463509261608124
132,technical,volatility,fi_13,0.003737217513844371,-0.08134087175130844,0.003424181370064616,0.12118000537157059
133,technical,volatility,fi_50,0.003340589813888073,-0.009045824408531189,-0.0446900837123394,-0.0033123292960226536
134,technical,volatility,fi_13_pct,0.003072559367865324,-0.06900851428508759,-0.07555767893791199,0.17263895273208618
135,technical,volatility,fi_50_pct,0.002203465672209859,0.01454200316220522,-0.0028490640688687563,-0.010160265490412712
136,technical,momentum,stoch_14,0.003161130240187049,0.021213820204138756,0.003570053493604064,-0.020056797191500664
